starship_id,starship_name,starship_model,starship_manufacturer,starship_cost_in_credits,starship_length,starship_max_atmosphering_speed,starship_crew,starship_passengers,starship_cargo_capacity,starship_consumables,starship_hyperdrive_rating,starship_MGLT,starship_starship_class,starship_films_001,starship_films_002,starship_films_003,starship_created,starship_edited,starship_url,starship_pilots_001,starship_pilots_002,starship_pilots_003,starship_pilots_004
21,Slave 1,Firespray-31-class patrol and attack,Kuat Systems Engineering,unknown,21.5,1000,1,6,70000,1 month,3.0,70,Patrol craft,http://swapi.dev/api/people/22/,http://swapi.dev/api/films/2/,http://swapi.dev/api/films/5/,2014-12-15T13:00:56.332000Z,2014-12-20T21:23:49.897000Z,http://swapi.dev/api/starships/21/,,,,
22,Imperial shuttle,Lambda-class T-4a shuttle,Sienar Fleet Systems,240000,20,850,6,20,80000,2 months,1.0,50,Armed government transport,http://swapi.dev/api/people/1/,http://swapi.dev/api/films/2/,http://swapi.dev/api/films/3/,2014-12-15T13:04:47.235000Z,2014-12-20T21:23:49.900000Z,http://swapi.dev/api/starships/22/,http://swapi.dev/api/people/13/,http://swapi.dev/api/people/14/,,
23,EF76 Nebulon-B escort frigate,EF76 Nebulon-B escort frigate,Kuat Drive Yards,8500000,300,800,854,75,6000000,2 years,2.0,40,Escort ship,,http://swapi.dev/api/films/2/,http://swapi.dev/api/films/3/,2014-12-15T13:06:30.813000Z,2014-12-20T21:23:49.902000Z,http://swapi.dev/api/starships/23/,,,,
27,Calamari Cruiser,MC80 Liberty type Star Cruiser,Mon Calamari shipyards,104000000,1200,n/a,5400,1200,unknown,2 years,1.0,60,Star Cruiser,,http://swapi.dev/api/films/3/,,2014-12-18T10:54:57.804000Z,2014-12-20T21:23:49.904000Z,http://swapi.dev/api/starships/27/,,,,
28,A-wing,RZ-1 A-wing Interceptor,"Alliance Underground Engineering, Incom Corporation",175000,9.6,1300,1,0,40,1 week,1.0,120,Starfighter,http://swapi.dev/api/people/29/,http://swapi.dev/api/films/3/,,2014-12-18T11:16:34.542000Z,2014-12-20T21:23:49.907000Z,http://swapi.dev/api/starships/28/,,,,
29,B-wing,A/SF-01 B-wing starfighter,Slayn & Korpil,220000,16.9,950,1,0,45,1 week,2.0,91,Assault Starfighter,,http://swapi.dev/api/films/3/,,2014-12-18T11:18:04.763000Z,2014-12-20T21:23:49.909000Z,http://swapi.dev/api/starships/29/,,,,
31,Republic Cruiser,Consular-class cruiser,Corellian Engineering Corporation,unknown,115,900,9,16,unknown,unknown,2.0,unknown,Space cruiser,,http://swapi.dev/api/films/4/,,2014-12-19T17:01:31.488000Z,2014-12-20T21:23:49.912000Z,http://swapi.dev/api/starships/31/,,,,
32,Droid control ship,Lucrehulk-class Droid Control Ship,"Hoersch-Kessel Drive, Inc.",unknown,3170,n/a,175,139000,4000000000,500 days,2.0,unknown,Droid control ship,,http://swapi.dev/api/films/4/,http://swapi.dev/api/films/5/,2014-12-19T17:04:06.323000Z,2014-12-20T21:23:49.915000Z,http://swapi.dev/api/starships/32/,,,http://swapi.dev/api/films/6/,
39,Naboo fighter,N-1 starfighter,Theed Palace Space Vessel Engineering Corps,200000,11,1100,1,0,65,7 days,1.0,unknown,Starfighter,http://swapi.dev/api/people/11/,http://swapi.dev/api/films/4/,http://swapi.dev/api/films/5/,2014-12-19T17:39:17.582000Z,2014-12-20T21:23:49.917000Z,http://swapi.dev/api/starships/39/,http://swapi.dev/api/people/35/,http://swapi.dev/api/people/60/,,
40,Naboo Royal Starship,J-type 327 Nubian royal starship,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",unknown,76,920,8,unknown,unknown,unknown,1.8,unknown,yacht,http://swapi.dev/api/people/39/,http://swapi.dev/api/films/4/,,2014-12-19T17:45:03.506000Z,2014-12-20T21:23:49.919000Z,http://swapi.dev/api/starships/40/,,,,
41,Scimitar,Star Courier,Republic Sienar Systems,55000000,26.5,1180,1,6,2500000,30 days,1.5,unknown,Space Transport,http://swapi.dev/api/people/44/,http://swapi.dev/api/films/4/,2014-12-20T09:39:56.116000Z,2014-12-20T21:23:49.922000Z,http://swapi.dev/api/starships/41/,,,,,
43,J-type diplomatic barge,J-type diplomatic barge,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",2000000,39,2000,5,10,unknown,1 year,0.7,unknown,Diplomatic barge,,http://swapi.dev/api/films/5/,2014-12-20T11:05:51.237000Z,2014-12-20T21:23:49.925000Z,http://swapi.dev/api/starships/43/,,,,,
47,AA-9 Coruscant freighter,Botajef AA-9 Freighter-Liner,Botajef Shipyards,unknown,390,unknown,unknown,30000,unknown,unknown,unknown,unknown,freighter,,http://swapi.dev/api/films/5/,2014-12-20T17:24:23.509000Z,2014-12-20T21:23:49.928000Z,http://swapi.dev/api/starships/47/,,,,,
48,Jedi starfighter,Delta-7 Aethersprite-class interceptor,Kuat Systems Engineering,180000,8,1150,1,0,60,7 days,1.0,unknown,Starfighter,http://swapi.dev/api/people/10/,http://swapi.dev/api/films/5/,2014-12-20T17:35:23.906000Z,2014-12-20T21:23:49.930000Z,http://swapi.dev/api/starships/48/,http://swapi.dev/api/people/58/,http://swapi.dev/api/films/6/,,,
49,H-type Nubian yacht,H-type Nubian yacht,Theed Palace Space Vessel Engineering Corps,unknown,47.9,8000,4,unknown,unknown,unknown,0.9,unknown,yacht,http://swapi.dev/api/people/35/,http://swapi.dev/api/films/5/,2014-12-20T17:46:46.847000Z,2014-12-20T21:23:49.932000Z,http://swapi.dev/api/starships/49/,,,,,
52,Republic Assault ship,Acclamator I-class assault ship,Rothana Heavy Engineering,unknown,752,unknown,700,16000,11250000,2 years,0.6,unknown,assault ship,,http://swapi.dev/api/films/5/,2014-12-20T18:08:42.926000Z,2014-12-20T21:23:49.935000Z,http://swapi.dev/api/starships/52/,,,,,
58,Solar Sailer,Punworcca 116-class interstellar sloop,Huppla Pasa Tisc Shipwrights Collective,35700,15.2,1600,3,11,240,7 days,1.5,unknown,yacht,,http://swapi.dev/api/films/5/,2014-12-20T18:37:56.969000Z,2014-12-20T21:23:49.937000Z,http://swapi.dev/api/starships/58/,,,,,
59,Trade Federation cruiser,Providence-class carrier/destroyer,"Rendili StarDrive, Free Dac Volunteers Engineering corps.",125000000,1088,1050,600,48247,50000000,4 years,1.5,unknown,capital ship,http://swapi.dev/api/people/10/,http://swapi.dev/api/films/6/,2014-12-20T19:40:21.902000Z,2014-12-20T21:23:49.941000Z,http://swapi.dev/api/starships/59/,http://swapi.dev/api/people/11/,,,,
61,Theta-class T-2c shuttle,Theta-class T-2c shuttle,Cygnus Spaceworks,1000000,18.5,2000,5,16,50000,56 days,1.0,unknown,transport,,http://swapi.dev/api/films/6/,2014-12-20T19:48:40.409000Z,2014-12-20T21:23:49.944000Z,http://swapi.dev/api/starships/61/,,,,,
63,Republic attack cruiser,Senator-class Star Destroyer,"Kuat Drive Yards, Allanteen Six shipyards",59000000,1137,975,7400,2000,20000000,2 years,1.0,unknown,star destroyer,,http://swapi.dev/api/films/6/,2014-12-20T19:52:56.232000Z,2014-12-20T21:23:49.946000Z,http://swapi.dev/api/starships/63/,,,,,
64,Naboo star skiff,J-type star skiff,"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated",unknown,29.2,1050,3,3,unknown,unknown,0.5,unknown,yacht,http://swapi.dev/api/people/10/,http://swapi.dev/api/people/35/,http://swapi.dev/api/films/6/,2014-12-20T19:55:15.396000Z,2014-12-20T21:23:49.948000Z,http://swapi.dev/api/starships/64/,,,,
65,Jedi Interceptor,Eta-2 Actis-class light interceptor,Kuat Systems Engineering,320000,5.47,1500,1,0,60,2 days,1.0,unknown,starfighter,http://swapi.dev/api/people/10/,http://swapi.dev/api/people/11/,http://swapi.dev/api/films/6/,2014-12-20T19:56:57.468000Z,2014-12-20T21:23:49.951000Z,http://swapi.dev/api/starships/65/,,,,
66,arc-170,Aggressive Reconnaissance-170 starfighte,"Incom Corporation, Subpro Corporation",155000,14.5,1000,3,0,110,5 days,1.0,100,starfighter,,,http://swapi.dev/api/films/6/,2014-12-20T20:03:48.603000Z,2014-12-20T21:23:49.953000Z,http://swapi.dev/api/starships/66/,,,,
68,Banking clan frigte,Munificent-class star frigate,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",57000000,825,unknown,200,unknown,40000000,2 years,1.0,unknown,cruiser,,,http://swapi.dev/api/films/6/,2014-12-20T20:07:11.538000Z,2014-12-20T21:23:49.956000Z,http://swapi.dev/api/starships/68/,,,,
74,Belbullab-22 starfighter,Belbullab-22 starfighter,Feethan Ottraw Scalable Assemblies,168000,6.71,1100,1,0,140,7 days,6.0,unknown,starfighter,http://swapi.dev/api/people/10/,http://swapi.dev/api/people/79/,http://swapi.dev/api/films/6/,2014-12-20T20:38:05.031000Z,2014-12-20T21:23:49.959000Z,http://swapi.dev/api/starships/74/,,,,
75,V-wing,Alpha-3 Nimbus-class V-wing starfighter,Kuat Systems Engineering,102500,7.9,1050,1,0,60,15 hours,1.0,unknown,starfighter,,,http://swapi.dev/api/films/6/,2014-12-20T20:43:04.349000Z,2014-12-20T21:23:49.961000Z,http://swapi.dev/api/starships/75/,,,,
